Specimen_001_Tube_001_001_FITC,Specimen_001_Tube_001_001_PacificBlue,Specimen_001_Tube_002_002_FITC,Specimen_001_Tube_002_002_PacificBlue,Specimen_001_Tube_003_003_FITC,Specimen_001_Tube_003_003_PacificBlue,Specimen_001_Tube_004_004_FITC,Specimen_001_Tube_004_004_PacificBlue,Specimen_001_Tube_005_005_FITC,Specimen_001_Tube_005_005_PacificBlue,Specimen_001_Tube_006_006_FITC,Specimen_001_Tube_006_006_PacificBlue,Specimen_001_Tube_007_007_FITC,Specimen_001_Tube_007_007_PacificBlue,Specimen_001_Tube_008_008_FITC,Specimen_001_Tube_008_008_PacificBlue,Specimen_001_Tube_009_009_FITC,Specimen_001_Tube_009_009_PacificBlue,Specimen_001_Tube_010_010_FITC,Specimen_001_Tube_010_010_PacificBlue
536.82336,81.50058,535.76825,82.6538,477.35056,72.66862,437.19357,64.989365,401.17252,71.111496,222.73727,78.456635,96.28029,86.544136,40.61308,102.3067,0.58407617,92.66533,-0.3268839,0.93932843
679.4693,103.67096,445.5927,67.774536,495.06323,97.474464,478.08496,71.550446,352.06052,56.622242,258.18295,94.69534,172.79948,115.35955,22.684,92.42058,2.3223162,91.9343,0.47093785,93.42946
554.6563,86.80267,517.0456,75.30183,593.9029,90.46878,465.3278,72.28356,298.60922,106.818375,238.6292,70.358215,117.384254,84.67697,29.28256,91.85506,2.591425,95.81853,-0.68960416,127.44931
541.9411,85.82529,534.1538,83.720726,512.27356,76.517555,371.90833,54.118843,427.7971,84.443665,274.53073,88.38249,163.9247,129.73642,33.688816,92.902824,3.1323657,108.05052,1.818675,69.32385
521.73145,81.903145,715.52277,108.272934,572.65533,84.5816,407.7866,58.891598,418.28397,74.93449,256.83667,86.734886,104.40512,76.85767,14.237487,89.420074,0.94488657,97.323654,1.7239473,74.05851
523.0794,82.21579,514.4674,79.66347,526.2451,79.14077,425.4617,59.61308,343.17853,61.6302,235.11584,87.52068,148.60123,96.23263,21.32195,86.54293,7.474839,96.95274,3.371489,59.281944
538.1026,80.31345,552.8441,85.06491,529.73047,80.320076,471.8646,70.60578,366.45276,64.15051,264.17844,91.9587,108.40734,85.22826,48.057835,106.96036,5.653963,111.9634,-0.07499945,80.02756
530.0963,88.1506,616.95386,94.07046,524.35376,77.37519,440.20828,66.193825,309.61215,49.916977,234.59029,78.00351,1.5999908,2.0551367,-1.4884808,0.7036159,1.8522239,91.13167,-0.21460676,81.551476
560.7654,85.02166,601.73474,94.320656,472.0273,70.10598,385.7678,57.3367,294.89374,52.360703,268.16876,82.500404,123.61746,95.386,28.70765,91.0992,-1.2102274,124.438896,2.4166572,51.184
461.6126,73.2199,575.0378,85.87419,516.22656,77.43952,444.7155,64.84508,353.6228,62.740128,271.50644,75.52252,130.01482,90.0738,41.66468,84.63163,1.8262949,93.839806,3.975165,74.850266
493.6231,78.45355,519.3304,78.658424,553.6677,83.65475,559.2048,84.36115,408.96997,77.60561,0.5169667,3.1991992,121.78657,91.08527,27.067171,88.80622,3.6753988,107.73946,2.644818,75.47641
469.63904,72.77398,498.38507,77.04767,443.45728,68.53874,399.60913,56.23477,376.73328,73.39862,283.65518,87.05592,145.13573,117.29577,49.04878,92.52104,4.870552,112.13545,0.18173146,243.81303
499.5432,77.43002,544.4511,84.12442,540.9559,80.81651,496.26965,71.844795,381.63834,69.228165,248.11775,77.02529,156.90099,120.09314,45.264053,100.38766,2.6459723,88.38276,-0.58406603,106.31405
494.61826,79.27085,486.39276,72.42501,492.15933,74.142395,462.10358,65.06083,371.99258,66.93718,266.08508,79.489174,120.041374,106.485886,28.479883,122.62762,2.80938,97.317696,3.7415037,84.04396
491.57468,75.363266,508.83896,79.16951,460.19116,71.04551,468.6054,69.67148,377.0929,64.88708,270.93726,85.181625,118.674484,92.95181,18.953999,95.9377,4.6212983,121.244934,2.6946683,73.51724
581.3472,90.88051,494.1934,77.72914,-0.11149049,1.4240203,531.7122,80.49633,392.94302,73.97743,256.6368,87.19674,108.72593,117.11621,46.298923,100.10864,3.291821,97.54558,3.7543592,79.325066
