Specimen_001_Tube_001_001_FITC,Specimen_001_Tube_001_001_PacificBlue,Specimen_001_Tube_002_002_FITC,Specimen_001_Tube_002_002_PacificBlue,Specimen_001_Tube_003_003_FITC,Specimen_001_Tube_003_003_PacificBlue,Specimen_001_Tube_004_004_FITC,Specimen_001_Tube_004_004_PacificBlue,Specimen_001_Tube_005_005_FITC,Specimen_001_Tube_005_005_PacificBlue,Specimen_001_Tube_006_006_FITC,Specimen_001_Tube_006_006_PacificBlue,Specimen_001_Tube_007_007_FITC,Specimen_001_Tube_007_007_PacificBlue,Specimen_001_Tube_008_008_FITC,Specimen_001_Tube_008_008_PacificBlue,Specimen_001_Tube_009_009_FITC,Specimen_001_Tube_009_009_PacificBlue,Specimen_001_Tube_010_010_FITC,Specimen_001_Tube_010_010_PacificBlue
465.61676,79.57157,457.17322,75.77168,536.77155,93.93559,450.4821,76.674965,453.49368,75.15397,459.62976,80.608086,450.6525,76.807884,390.58398,63.073204,446.92636,76.12135,377.21985,70.02825
461.7571,77.05625,461.53714,76.111275,484.53513,84.36449,590.8497,97.481735,446.24146,75.78565,480.13776,81.507835,298.69836,89.005936,464.40775,77.673294,442.05936,76.602005,397.70828,69.80021
509.66483,88.590546,477.99274,76.159386,455.03137,86.17152,392.8984,69.18415,534.21643,91.823746,615.0459,108.787766,466.67813,79.28912,557.1308,95.203255,480.53662,83.20545,426.11267,74.05297
466.09808,77.03006,501.49948,81.096825,387.4898,69.04989,446.31845,79.514725,427.28748,74.97801,451.2403,77.02728,370.18448,64.958786,467.45383,79.55808,471.5618,80.34527,474.67307,81.21747
443.21973,77.066376,488.9829,85.86614,440.30005,80.598305,473.68292,80.994316,477.7659,82.965225,392.887,69.91,463.74374,81.379585,451.56396,80.001015,511.89783,82.53499,416.0484,72.957306
440.1812,78.40364,562.2376,93.3168,418.63593,78.20365,457.94257,79.41576,476.72308,77.14885,460.00528,78.34222,402.93082,67.72023,463.59625,83.225945,476.6311,81.12,454.3492,74.550705
447.3796,79.71196,458.35754,77.33861,454.52817,81.6199,446.9498,77.66186,461.16708,76.94528,474.3189,81.02726,377.599,63.47957,13.194542,218.45642,476.98428,81.645966,548.9881,92.80181
442.3175,75.310585,467.99088,77.82911,453.83038,81.62549,453.4293,86.091835,442.99127,75.60713,454.32413,79.01586,462.7783,80.70521,434.24878,75.34433,489.88315,81.004875,492.5749,83.47229
466.42944,78.565956,498.87665,84.963905,496.0229,82.94995,381.38004,66.96094,491.8442,85.4256,482.6486,79.33185,414.2128,74.45893,458.09528,84.76194,433.37195,79.5129,400.22653,70.29874
404.7533,67.906494,392.73148,69.35544,381.50186,73.7024,495.3597,85.29934,471.087,82.49137,444.00443,74.22432,428.93906,68.66545,481.8724,85.279564,260.1202,86.690125,405.2506,74.41644
474.77713,80.02254,592.19116,95.470215,468.41583,84.64497,459.16956,81.24273,464.62714,81.84677,490.49878,83.94424,405.52737,72.07326,448.2205,76.28293,475.56763,88.97931,465.14273,82.25876
457.554,75.34964,545.4229,88.85665,442.18594,77.970085,390.96115,68.97919,476.7462,78.67298,430.14517,73.49564,450.64963,75.05192,460.472,77.53633,436.39114,74.5976,456.43494,80.4317
537.06836,88.20051,414.93906,68.64162,523.12256,94.41403,488.6337,83.592674,444.8676,79.39506,273.6793,95.76839,376.35968,62.913475,353.0458,61.52714,477.0387,79.96208,437.20633,74.66203
